subject,list,music,song_number,music_set,snippet_file,Pool,familiarity,preference,pleasantness,offensiveness,distraction,actual_artist,artist_name,accuracy_artist,actual_song_name,song_name,accuracy_song
1,A,lyrical,1,A,static/A1_lyrical.mp3,Prolific,10,6,3,5,10,Sa-Roc,NA,0,Starseed,NA,0
1,A,lyrical,2,A,static/A2_lyrical.mp3,Prolific,3,NA,2,10,10,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
1,A,lyrical,3,A,static/A3_lyrical.mp3,Prolific,3,3,3,5,10,Evidence,NA,0,Throw It All Away,NA,0
1,A,instrumental,1,B,static/B1_instrumental.mp3,Prolific,7,6,5,1,10,The Four Owls,NA,0,Old Earth,NA,0
1,A,instrumental,2,B,static/B2_instrumental.mp3,Prolific,1,1,1,1,10,Aesop Rock,NA,0,Molecules,NA,0
1,A,instrumental,3,B,static/B3_instrumental.mp3,Prolific,1,1,1,1,10,Atmosphere,NA,0,Just for show,NA,0
2,A,lyrical,1,A,static/A1_lyrical.mp3,Prolific,1,4,3,1,10,Sa-Roc,NA,0,Starseed,NA,0
2,A,lyrical,2,A,static/A2_lyrical.mp3,Prolific,1,6,5,1,10,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
2,A,lyrical,3,A,static/A3_lyrical.mp3,Prolific,9,5,6,1,8,Evidence,NA,0,Throw It All Away,NA,0
2,A,instrumental,1,B,static/B1_instrumental.mp3,Prolific,1,5,7,1,6,The Four Owls,NA,0,Old Earth,NA,0
2,A,instrumental,2,B,static/B2_instrumental.mp3,Prolific,1,3,1,1,9,Aesop Rock,NA,0,Molecules,NA,0
2,A,instrumental,3,B,static/B3_instrumental.mp3,Prolific,1,2,2,1,8,Atmosphere,NA,0,Just for show,NA,0
3,A,lyrical,1,A,static/A1_lyrical.mp3,Prolific,1,2,2,2,10,Sa-Roc,NA,0,Starseed,NA,0
3,A,lyrical,2,A,static/A2_lyrical.mp3,Prolific,1,2,1,8,10,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
3,A,lyrical,3,A,static/A3_lyrical.mp3,Prolific,1,1,1,1,9,Evidence,NA,0,Throw It All Away,NA,0
3,A,instrumental,1,B,static/B1_instrumental.mp3,Prolific,1,2,2,1,4,The Four Owls,NA,0,Old Earth,NA,0
3,A,instrumental,2,B,static/B2_instrumental.mp3,Prolific,1,1,1,1,4,Aesop Rock,NA,0,Molecules,NA,0
3,A,instrumental,3,B,static/B3_instrumental.mp3,Prolific,1,4,3,1,4,Atmosphere,NA,0,Just for show,NA,0
4,A,lyrical,1,A,static/A1_lyrical.mp3,Prolific,1,7,NA,2,7,Sa-Roc,NA,0,Starseed,NA,0
4,A,lyrical,2,A,static/A2_lyrical.mp3,Prolific,1,2,4,2,3,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
4,A,lyrical,3,A,static/A3_lyrical.mp3,Prolific,1,2,3,2,3,Evidence,NA,0,Throw It All Away,NA,0
4,A,instrumental,1,B,static/B1_instrumental.mp3,Prolific,1,2,4,1,2,The Four Owls,NA,0,Old Earth,NA,0
4,A,instrumental,2,B,static/B2_instrumental.mp3,Prolific,1,4,4,1,3,Aesop Rock,NA,0,Molecules,NA,0
4,A,instrumental,3,B,static/B3_instrumental.mp3,Prolific,2,4,4,1,2,Atmosphere,NA,0,Just for show,NA,0
5,A,lyrical,1,A,static/A1_lyrical.mp3,Prolific,1,2,1,1,9,Sa-Roc,NA,0,Starseed,NA,0
5,A,lyrical,2,A,static/A2_lyrical.mp3,Prolific,3,4,3,1,8,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
5,A,lyrical,3,A,static/A3_lyrical.mp3,Prolific,3,6,6,1,6,Evidence,NA,0,Throw It All Away,NA,0
5,A,instrumental,1,B,static/B1_instrumental.mp3,Prolific,5,7,8,1,4,The Four Owls,NA,0,Old Earth,NA,0
5,A,instrumental,2,B,static/B2_instrumental.mp3,Prolific,3,3,2,1,7,Aesop Rock,NA,0,Molecules,NA,0
5,A,instrumental,3,B,static/B3_instrumental.mp3,Prolific,6,6,6,1,7,Atmosphere,NA,0,Just for show,NA,0
6,A,lyrical,1,A,static/A1_lyrical.mp3,Prolific,6,9,NA,8,8,Sa-Roc,,0,Starseed,NA,0
6,A,lyrical,2,A,static/A2_lyrical.mp3,Prolific,5,9,6,6,7,Johnie Bee ft. Rasco,,0,In My Prime,NA,0
6,A,lyrical,3,A,static/A3_lyrical.mp3,Prolific,7,8,7,3,8,Evidence,Snoop dog,0,Throw It All Away,NA,0
6,A,instrumental,1,B,static/B1_instrumental.mp3,Prolific,3,8,8,1,5,The Four Owls,,0,Old Earth,NA,0
6,A,instrumental,2,B,static/B2_instrumental.mp3,Prolific,2,2,3,1,9,Aesop Rock,,0,Molecules,NA,0
6,A,instrumental,3,B,static/B3_instrumental.mp3,Prolific,2,3,5,1,8,Atmosphere,,0,Just for show,NA,0
7,A,lyrical,1,A,static/A1_lyrical.mp3,Prolific,1,3,3,5,8,Sa-Roc,NA,0,Starseed,NA,0
7,A,lyrical,2,A,static/A2_lyrical.mp3,Prolific,1,4,3,4,8,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
