"subject","labjs_version","browser","browser_version","screen_width","screen_height","device_pixel_ratio","platform","OS"
1,"'20'2'3","Chrome","94.0.4606","1920","1080","1","""Win32","Windows"
2,"'20'2'3","Chrome","80.0.3987","1920","1080","1","""Win32","Windows"
3,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
4,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
5,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
6,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
7,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
8,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
9,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
10,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
11,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
12,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
13,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
14,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
15,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
16,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
17,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
18,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
19,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
20,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
21,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
22,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
23,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
24,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
25,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
26,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
27,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
28,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
29,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
30,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
31,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
32,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
33,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
34,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
35,"'20'2'3","Chrome","80.0.3987","1920","1080","1","""Win32","Windows"
36,"'20'2'3","Chrome","94.0.4606","1920","1080","1","""Win32","Windows"
37,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
38,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
39,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
40,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
41,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
42,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
43,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
44,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
45,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
46,"'20'2'3","Chrome","95.0.4638","1920","1080","1","""Win32","Windows"
47,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
48,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
49,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
50,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
51,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
52,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
53,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
54,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
55,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
56,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
57,"'20'2'3","Chrome","96.0.4664","1920","1080","1","""Win32","Windows"
